2018-12-11T07:05:27.269+0000 I NETWORK  [listener] connection accepted from 172.17.0.4:58928 #27 (10 connections now open)
2018-12-11T07:05:27.269+0000 I NETWORK  [conn27] received client metadata from 172.17.0.4:58928 conn27: { driver: { name: "MongoDB Internal Client", version: "4.0.4" }, os: { type: "Linux", name: "Ubuntu", architecture: "x86_64", version: "16.04" } }
2018-12-11T07:05:27.280+0000 I ACCESS   [conn27] Successfully authenticated as principal __system on local
2018-12-11T07:05:27.362+0000 W NETWORK  [ShardServerCatalogCacheLoader-0] Unable to reach primary for set rs_shardsvr1
2018-12-11T07:05:27.848+0000 I REPL     [replexec-0] Member 172.17.0.11:27018 is now in state PRIMARY
2018-12-11T07:05:27.863+0000 W NETWORK  [ShardServerCatalogCacheLoader-0] Unable to reach primary for set rs_shardsvr1
2018-12-11T07:05:28.364+0000 W NETWORK  [ShardServerCatalogCacheLoader-0] Unable to reach primary for set rs_shardsvr1
2018-12-11T07:05:28.865+0000 W NETWORK  [ShardServerCatalogCacheLoader-0] Unable to reach primary for set rs_shardsvr1
2018-12-11T07:05:29.366+0000 W NETWORK  [ShardServerCatalogCacheLoader-0] Unable to reach primary for set rs_shardsvr1
2018-12-11T07:05:29.866+0000 I ASIO     [ShardRegistry] Connecting to 172.17.0.11:27018
2018-12-11T07:05:30.345+0000 I REPL     [rsBackgroundSync] sync source candidate: 172.17.0.11:27018
2018-12-11T07:05:30.345+0000 I ASIO     [RS] Connecting to 172.17.0.11:27018
2018-12-11T07:05:30.347+0000 I REPL     [rsBackgroundSync] Changed sync source from empty to 172.17.0.11:27018
2018-12-11T07:05:30.347+0000 I ASIO     [RS] Connecting to 172.17.0.11:27018
2018-12-11T07:05:43.148+0000 I NETWORK  [listener] connection accepted from 172.17.0.6:60778 #31 (11 connections now open)
2018-12-11T07:05:43.148+0000 I NETWORK  [listener] connection accepted from 172.17.0.8:45998 #32 (12 connections now open)
